Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
"Gene823",25.4104578962926,-2.12166587516665,0.525661226828653,-4.03618484088467,5.43E-05,0.002570005828894
"Gene835",23.6212411176926,-1.4853192143077,0.505512631605098,-2.93824352042704,0.003300776421876,0.03069100829019
"Gene836",7.81214160221667,3.16775531189418,0.817130490620851,3.87668230258712,0.000105890477097,0.003746735127949
"Gene862",132.64101710769,-1.73718584886714,0.487805600689456,-3.5612257145302,0.000369127585124,0.007869761964263
"Gene869",13.516029743081,2.76006973678902,0.689422970419626,4.00344905118127,6.24E-05,0.002699661635152
"Gene876",7.93961755636701,1.91226615862441,0.675061865357135,2.83272727546644,0.004615274393448,0.037202115635944
"Gene886",12.1527059454631,1.95788180473268,0.581680991334353,3.36590301883749,0.000762935265729,0.012409654516296
"Gene891",24.3942064835899,2.13745436719116,0.586889992628099,3.6420017278189,0.000270526256984,0.006531815277606
"Gene892",36.3317036861744,2.08926410652845,0.66518305098313,3.14088596130125,0.00168437604828,0.020260850081845
"Gene901",35.1274613074,2.3046571138623,0.566903412901011,4.06534351604746,4.80E-05,0.002397648289691
"Gene917",49.5296230197331,1.69995014187482,0.542967330488811,3.130851611909,0.001743002067323,0.0207371577835
"Gene919",13.0758221856498,2.74112090736338,0.673652905705719,4.06904042741682,4.72E-05,0.002397648289691
"Gene925",14.9962542176911,1.65224885776027,0.592485078002076,2.7886758993692,0.005292399867943,0.040617305465386
"Gene928",23.8341293324358,1.75450062819045,0.590048056716292,2.97348768158736,0.002944362248632,0.028446506902124
"Gene930",5.01320629431419,2.53931400437727,0.887941187423259,2.85977724689872,0.004239386709005,0.035321740332365
"Gene949",13.4716198281721,1.62641296236868,0.58468352315264,2.78169795789522,0.005407534076327,0.041074810253909
"Gene963",12.2090161315341,2.08268408130725,0.654097136187422,3.1840593179275,0.001452252493236,0.018532374322347
"Gene975",28.5105704115634,-1.74296424388988,0.605080181111886,-2.88055087292238,0.003969808809499,0.034119066566186
"Gene977",11.8722287954632,3.20125577798245,0.681317347125946,4.69862655264328,2.62E-06,0.000509708944615
"Gene993",176.721376155429,-1.45141799649257,0.465671629307765,-3.11682719140556,0.00182808696286,0.021514569893356
"Gene995",3.81552253459897,3.25592098992939,0.93384814128793,3.48656365631241,0.000489268928132,0.009289290555363
"Gene1013",25.5779890147437,-2.49877899794613,0.902035643853859,-2.77015549770332,0.00560295366394,0.042111026916976
"Gene1022",49.8184471363887,2.03544984647094,0.561635445039891,3.62414777138286,0.000289915821525,0.006803167245035
"Gene1025",838.873096432521,-2.21915070281935,0.589324784862863,-3.76558183164781,0.000166161690105,0.00490543264977
"Gene1027",347.620929158198,-2.30996804487274,0.671222491816935,-3.4414342085288,0.000578639168109,0.010405956524832
"Gene1034",28.69078074682,1.77162508146666,0.555854648987404,3.18720925460282,0.001436528038059,0.018463807828809
"Gene1040",5.36362878403644,2.33097851897931,0.821248823416468,2.83833407429704,0.004534969064476,0.036717751013864
"Gene1042",217.25921451958,1.86180710829166,0.549522527406798,3.38804510358756,0.000703926876524,0.011875224613551
"Gene1056",98.4504488335774,2.78908822789378,0.839995402073642,3.32036130317921,0.000899010173835,0.013645421830723
"Gene1063",16.0746328625186,-3.19463107886269,0.768582823783675,-4.15652156150949,3.23E-05,0.002096111518372
"Gene1069",126.372870910716,-1.83971010204402,0.564383324344468,-3.25968189117006,0.001115372359567,0.015653938052509
"Gene1070",18.7659235385787,-1.69323201128043,0.526811415457666,-3.21411412432937,0.001308476555011,0.017347661187968
